2022-05-21 21:59:23.422628 +07 | [ant/default-2022-05-21-21-59-15-960437-+07-01] observation space: Box(111,)
2022-05-22 01:11:56.081190 +07 | time-total              21.2277
2022-05-22 01:11:56.081242 +07 | epoch                    0
2022-05-22 01:11:56.081291 +07 | avg-path-return/0       -8.93515
2022-05-22 01:11:56.081338 +07 | total-samples/0       1000
2022-05-22 01:11:56.081386 +07 | avg-path-return/1     -310.515
2022-05-22 01:11:56.081433 +07 | total-samples/1       1000
2022-05-22 01:11:56.081480 +07 | avg-path-return/2      -34.3672
2022-05-22 01:11:56.081527 +07 | total-samples/2       1000
2022-05-22 01:11:56.081574 +07 | avg-path-return/3      -15.6682
2022-05-22 01:11:56.081621 +07 | total-samples/3       1000
2022-05-22 01:11:56.081667 +07 | --------------------  ----------
2022-05-22 01:12:15.730773 +07 | --------------------  ---------
2022-05-22 01:12:15.730921 +07 | beta_t                   1
2022-05-22 01:12:15.730986 +07 | beta                     1
2022-05-22 01:12:15.731068 +07 | best_actor_num           0
2022-05-22 01:12:15.731131 +07 | mean-okl/0             nan
2022-05-22 01:12:15.731193 +07 | mean-bkl/0             nan
2022-05-22 01:12:15.731263 +07 | mean-okl/1             nan
2022-05-22 01:12:15.731327 +07 | mean-bkl/1             nan
2022-05-22 01:12:15.731385 +07 | mean-okl/2             nan
2022-05-22 01:12:15.731445 +07 | mean-bkl/2             nan
2022-05-22 01:12:15.731504 +07 | mean-okl/3             nan
2022-05-22 01:12:15.731560 +07 | mean-bkl/3             nan
2022-05-22 01:12:15.731616 +07 | return-average/0       671.417
2022-05-22 01:12:15.731671 +07 | episode-length-avg/0   836.4
2022-05-22 01:12:15.731727 +07 | return-average/1       434.086
2022-05-22 01:12:15.731785 +07 | episode-length-avg/1   801.2
2022-05-22 01:12:15.731842 +07 | return-average/2       672.169
2022-05-22 01:12:15.731899 +07 | episode-length-avg/2  1000
2022-05-22 01:12:15.731956 +07 | return-average/3       908.299
2022-05-22 01:12:15.732012 +07 | episode-length-avg/3  1000
2022-05-22 01:12:15.732080 +07 | return-average         671.493
2022-05-22 01:12:15.732140 +07 | time-eval                0
2022-05-22 01:12:15.732199 +07 | time-total              40.8786
2022-05-22 01:12:15.732256 +07 | epoch                    4
2022-05-22 01:12:15.732331 +07 | avg-path-return/0      -52.5392
2022-05-22 01:12:15.732382 +07 | total-samples/0       2000
2022-05-22 01:12:15.732439 +07 | avg-path-return/1      -32.0381
2022-05-22 01:12:15.732493 +07 | total-samples/1       2000
2022-05-22 01:12:15.732550 +07 | avg-path-return/2      -29.6026
2022-05-22 01:12:15.732606 +07 | total-samples/2       2000
2022-05-22 01:12:15.732663 +07 | avg-path-return/3      -61.4956
2022-05-22 01:12:15.732767 +07 | total-samples/3       2000
2022-05-22 01:12:15.732822 +07 | --------------------  ---------
2022-05-22 01:16:39.141362 +07 | [ant/default-2022-05-22-01-15-49-160000-+07-01] observation space: Box(111,)
2022-05-22 01:16:39.141545 +07 | [ant/default-2022-05-22-01-15-49-160000-+07-01] action space: Box(8,)
2022-05-22 01:16:39.147190 +07 | [ant/default-2022-05-22-01-15-49-160000-+07-01] observation space: Box(111,)
2022-05-22 01:16:39.147356 +07 | [ant/default-2022-05-22-01-15-49-160000-+07-01] action space: Box(8,)
2022-05-22 01:16:39.151951 +07 | [ant/default-2022-05-22-01-15-49-160000-+07-01] observation space: Box(111,)
2022-05-22 01:16:39.152075 +07 | [ant/default-2022-05-22-01-15-49-160000-+07-01] action space: Box(8,)
2022-05-22 01:16:39.156905 +07 | [ant/default-2022-05-22-01-15-49-160000-+07-01] observation space: Box(111,)
2022-05-22 01:16:39.157008 +07 | [ant/default-2022-05-22-01-15-49-160000-+07-01] action space: Box(8,)
2022-05-22 01:49:56.932824 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] observation space: Box(111,)
2022-05-22 01:49:56.932972 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] action space: Box(8,)
2022-05-22 01:49:56.938562 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] observation space: Box(111,)
2022-05-22 01:49:56.938718 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] action space: Box(8,)
2022-05-22 01:49:56.943686 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] observation space: Box(111,)
2022-05-22 01:49:56.943803 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] action space: Box(8,)
2022-05-22 01:49:56.949173 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] observation space: Box(111,)
2022-05-22 01:49:56.949301 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] action space: Box(8,)
2022-05-22 01:50:02.668303 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] observation space: Box(111,)
2022-05-22 01:50:02.668436 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] action space: Box(8,)
2022-05-22 01:50:02.673696 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] observation space: Box(111,)
2022-05-22 01:50:02.673799 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] action space: Box(8,)
2022-05-22 01:50:02.679660 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] observation space: Box(111,)
2022-05-22 01:50:02.679754 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] action space: Box(8,)
2022-05-22 01:50:02.684430 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] observation space: Box(111,)
2022-05-22 01:50:02.684514 +07 | [ant/default-2022-05-22-01-49-05-653193-+07-01] action space: Box(8,)
2022-05-22 01:51:16.466636 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] observation space: Box(111,)
2022-05-22 01:51:16.466799 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] action space: Box(8,)
2022-05-22 01:51:16.472614 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] observation space: Box(111,)
2022-05-22 01:51:16.472743 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] action space: Box(8,)
2022-05-22 01:51:16.477383 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] observation space: Box(111,)
2022-05-22 01:51:16.477500 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] action space: Box(8,)
2022-05-22 01:51:16.482465 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] observation space: Box(111,)
2022-05-22 01:51:16.482581 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] action space: Box(8,)
2022-05-22 01:51:22.261457 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] observation space: Box(111,)
2022-05-22 01:51:22.261612 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] action space: Box(8,)
2022-05-22 01:51:22.266942 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] observation space: Box(111,)
2022-05-22 01:51:22.267047 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] action space: Box(8,)
2022-05-22 01:51:22.272470 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] observation space: Box(111,)
2022-05-22 01:51:22.272558 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] action space: Box(8,)
2022-05-22 01:51:22.277360 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] observation space: Box(111,)
2022-05-22 01:51:22.277443 +07 | [ant/default-2022-05-22-01-50-24-036402-+07-01] action space: Box(8,)
2022-05-22 01:51:44.444607 +07 | --------------------  ---------
2022-05-22 01:51:44.444770 +07 | beta_t                   1
2022-05-22 01:51:44.444827 +07 | beta                     1
2022-05-22 01:51:44.444907 +07 | best_actor_num           0
2022-05-22 01:51:44.444992 +07 | mean-okl/0             nan
2022-05-22 01:51:44.445084 +07 | mean-bkl/0             nan
2022-05-22 01:51:44.445185 +07 | mean-okl/1             nan
2022-05-22 01:51:44.445272 +07 | mean-bkl/1             nan
2022-05-22 01:51:44.445340 +07 | mean-okl/2             nan
2022-05-22 01:51:44.445409 +07 | mean-bkl/2             nan
2022-05-22 01:51:44.445467 +07 | mean-okl/3             nan
2022-05-22 01:51:44.445516 +07 | mean-bkl/3             nan
2022-05-22 01:51:44.445578 +07 | return-average/0       806.569
2022-05-22 01:51:44.445645 +07 | episode-length-avg/0  1000
2022-05-22 01:51:44.445695 +07 | return-average/1       887.252
2022-05-22 01:51:44.445742 +07 | episode-length-avg/1  1000
2022-05-22 01:51:44.445800 +07 | return-average/2       851.588
2022-05-22 01:51:44.445850 +07 | episode-length-avg/2  1000
2022-05-22 01:51:44.445959 +07 | return-average/3       863.705
2022-05-22 01:51:44.446025 +07 | episode-length-avg/3  1000
2022-05-22 01:51:44.446087 +07 | return-average         852.279
2022-05-22 01:51:44.446146 +07 | time-eval                0
2022-05-22 01:51:44.446204 +07 | time-total              22.0714
2022-05-22 01:51:44.446262 +07 | epoch                    0
2022-05-22 01:51:44.446320 +07 | avg-path-return/0      -29.7516
2022-05-22 01:51:44.446378 +07 | total-samples/0       1000
2022-05-22 01:51:44.446427 +07 | avg-path-return/1      -21.9163
2022-05-22 01:51:44.446475 +07 | total-samples/1       1000
2022-05-22 01:51:44.446522 +07 | avg-path-return/2      -44.9179
2022-05-22 01:51:44.446570 +07 | total-samples/2       1000
2022-05-22 01:51:44.446630 +07 | avg-path-return/3      -29.7258
2022-05-22 01:51:44.446693 +07 | total-samples/3       1000
2022-05-22 01:51:44.446742 +07 | --------------------  ---------
2022-05-22 01:52:05.864682 +07 | --------------------  ---------
2022-05-22 01:52:05.864812 +07 | beta_t                   1
2022-05-22 01:52:05.864879 +07 | beta                     1
2022-05-22 01:52:05.864952 +07 | best_actor_num           0
2022-05-22 01:52:05.865030 +07 | mean-okl/0             nan
2022-05-22 01:52:05.865114 +07 | mean-bkl/0             nan
2022-05-22 01:52:05.865202 +07 | mean-okl/1             nan
2022-05-22 01:52:05.865286 +07 | mean-bkl/1             nan
2022-05-22 01:52:05.865366 +07 | mean-okl/2             nan
2022-05-22 01:52:05.865410 +07 | mean-bkl/2             nan
2022-05-22 01:52:05.865502 +07 | mean-okl/3             nan
2022-05-22 01:52:05.865581 +07 | mean-bkl/3             nan
2022-05-22 01:52:05.865684 +07 | return-average/0       719.25
2022-05-22 01:52:05.865740 +07 | episode-length-avg/0   962.3
2022-05-22 01:52:05.865790 +07 | return-average/1       884.945
2022-05-22 01:52:05.865839 +07 | episode-length-avg/1  1000
2022-05-22 01:52:05.865888 +07 | return-average/2       856.861
2022-05-22 01:52:05.865936 +07 | episode-length-avg/2  1000
2022-05-22 01:52:05.865985 +07 | return-average/3       861.987
2022-05-22 01:52:05.866033 +07 | episode-length-avg/3  1000
2022-05-22 01:52:05.866080 +07 | return-average         830.761
2022-05-22 01:52:05.866127 +07 | time-eval                0
2022-05-22 01:52:05.866183 +07 | time-total              43.4912
2022-05-22 01:52:05.866231 +07 | epoch                    4
2022-05-22 01:52:05.866278 +07 | avg-path-return/0      -19.366
2022-05-22 01:52:05.866325 +07 | total-samples/0       2000
2022-05-22 01:52:05.866372 +07 | avg-path-return/1      -50.4034
2022-05-22 01:52:05.866419 +07 | total-samples/1       2000
2022-05-22 01:52:05.866466 +07 | avg-path-return/2      -76.6692
2022-05-22 01:52:05.866513 +07 | total-samples/2       2000
2022-05-22 01:52:05.866561 +07 | avg-path-return/3      -35.4053
2022-05-22 01:52:05.866607 +07 | total-samples/3       2000
2022-05-22 01:52:05.866654 +07 | --------------------  ---------
2022-05-22 02:00:37.883172 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] observation space: Box(111,)
2022-05-22 02:00:37.883317 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] action space: Box(8,)
2022-05-22 02:00:37.888505 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] observation space: Box(111,)
2022-05-22 02:00:37.888621 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] action space: Box(8,)
2022-05-22 02:00:37.892919 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] observation space: Box(111,)
2022-05-22 02:00:37.893007 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] action space: Box(8,)
2022-05-22 02:00:37.897446 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] observation space: Box(111,)
2022-05-22 02:00:37.897530 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] action space: Box(8,)
2022-05-22 02:00:43.618731 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] observation space: Box(111,)
2022-05-22 02:00:43.618872 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] action space: Box(8,)
2022-05-22 02:00:43.625244 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] observation space: Box(111,)
2022-05-22 02:00:43.625406 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] action space: Box(8,)
2022-05-22 02:00:43.631977 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] observation space: Box(111,)
2022-05-22 02:00:43.632147 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] action space: Box(8,)
2022-05-22 02:00:43.637560 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] observation space: Box(111,)
2022-05-22 02:00:43.637675 +07 | [ant/default-2022-05-22-01-59-45-053741-+07-01] action space: Box(8,)
2022-05-22 02:01:04.625785 +07 | --------------------  ---------
2022-05-22 02:01:04.625919 +07 | beta_t                   1
2022-05-22 02:01:04.625984 +07 | beta                     1
2022-05-22 02:01:04.626052 +07 | best_actor_num           0
2022-05-22 02:01:04.626115 +07 | mean-okl/0             nan
2022-05-22 02:01:04.626169 +07 | mean-bkl/0             nan
2022-05-22 02:01:04.626225 +07 | mean-okl/1             nan
2022-05-22 02:01:04.626288 +07 | mean-bkl/1             nan
2022-05-22 02:01:04.626336 +07 | mean-okl/2             nan
2022-05-22 02:01:04.626385 +07 | mean-bkl/2             nan
2022-05-22 02:01:04.626427 +07 | mean-okl/3             nan
2022-05-22 02:01:04.626486 +07 | mean-bkl/3             nan
2022-05-22 02:01:04.626547 +07 | return-average/0       604.444
2022-05-22 02:01:04.626596 +07 | episode-length-avg/0   775.6
2022-05-22 02:01:04.626645 +07 | return-average/1       967.859
2022-05-22 02:01:04.626693 +07 | episode-length-avg/1  1000
2022-05-22 02:01:04.626742 +07 | return-average/2       907.445
2022-05-22 02:01:04.626790 +07 | episode-length-avg/2  1000
2022-05-22 02:01:04.626838 +07 | return-average/3       810.85
2022-05-22 02:01:04.626885 +07 | episode-length-avg/3  1000
2022-05-22 02:01:04.626932 +07 | return-average         822.65
2022-05-22 02:01:04.626980 +07 | time-eval                0
2022-05-22 02:01:04.627027 +07 | time-total              20.8827
2022-05-22 02:01:04.627075 +07 | epoch                    0
2022-05-22 02:01:04.627123 +07 | avg-path-return/0       34.3252
2022-05-22 02:01:04.627171 +07 | total-samples/0       1000
2022-05-22 02:01:04.627219 +07 | avg-path-return/1       -3.3949
2022-05-22 02:01:04.627274 +07 | total-samples/1       1000
2022-05-22 02:01:04.627323 +07 | avg-path-return/2     -293.283
2022-05-22 02:01:04.627371 +07 | total-samples/2       1000
2022-05-22 02:01:04.627419 +07 | avg-path-return/3      -34.0991
2022-05-22 02:01:04.627466 +07 | total-samples/3       1000
2022-05-22 02:01:04.627514 +07 | --------------------  ---------
2022-05-22 02:01:25.746656 +07 | --------------------  ---------
2022-05-22 02:01:25.746804 +07 | beta_t                   1
2022-05-22 02:01:25.746882 +07 | beta                     1
2022-05-22 02:01:25.746971 +07 | best_actor_num           0
2022-05-22 02:01:25.747054 +07 | mean-okl/0             nan
2022-05-22 02:01:25.747160 +07 | mean-bkl/0             nan
2022-05-22 02:01:25.747269 +07 | mean-okl/1             nan
2022-05-22 02:01:25.747367 +07 | mean-bkl/1             nan
2022-05-22 02:01:25.747417 +07 | mean-okl/2             nan
2022-05-22 02:01:25.747480 +07 | mean-bkl/2             nan
2022-05-22 02:01:25.747550 +07 | mean-okl/3             nan
2022-05-22 02:01:25.747601 +07 | mean-bkl/3             nan
2022-05-22 02:01:25.747661 +07 | return-average/0       685.289
2022-05-22 02:01:25.747718 +07 | episode-length-avg/0   826.8
2022-05-22 02:01:25.747769 +07 | return-average/1       968.035
2022-05-22 02:01:25.747839 +07 | episode-length-avg/1  1000
2022-05-22 02:01:25.747902 +07 | return-average/2       919.633
2022-05-22 02:01:25.747971 +07 | episode-length-avg/2  1000
2022-05-22 02:01:25.748061 +07 | return-average/3       836.852
2022-05-22 02:01:25.748127 +07 | episode-length-avg/3  1000
2022-05-22 02:01:25.748188 +07 | return-average         852.452
2022-05-22 02:01:25.748248 +07 | time-eval                0
2022-05-22 02:01:25.748307 +07 | time-total              42.0032
2022-05-22 02:01:25.748367 +07 | epoch                    4
2022-05-22 02:01:25.748425 +07 | avg-path-return/0      -55.1549
2022-05-22 02:01:25.748481 +07 | total-samples/0       2000
2022-05-22 02:01:25.748530 +07 | avg-path-return/1      -41.6518
2022-05-22 02:01:25.748577 +07 | total-samples/1       2000
2022-05-22 02:01:25.748625 +07 | avg-path-return/2      -82.6689
2022-05-22 02:01:25.748686 +07 | total-samples/2       2000
2022-05-22 02:01:25.748759 +07 | avg-path-return/3      -66.0319
2022-05-22 02:01:25.748825 +07 | total-samples/3       2000
2022-05-22 02:01:25.748890 +07 | --------------------  ---------
